Code,Child Category,Parent Category
84111600,Audit services,Financial and Insurance Services
84111603,Internal audits,Financial and Insurance Services
84120000,Banking and investment,Financial and Insurance Services
84130000,Insurance and retirement services,Financial and Insurance Services
84131500,Insurance services for structures and property and possessions,Financial and Insurance Services
84131800,Retirement funds,Financial and Insurance Services
84140000,Credit agencies,Financial and Insurance Services
84141602,Credit card service providers,Financial and Insurance Services
85100000,Comprehensive health services,Healthcare Services
85101600,Healthcare provider support persons,Healthcare Services
85101700,Health administration services,Healthcare Services
85110000,Disease prevention and control,Healthcare Services
85120000,Medical practice,Healthcare Services
85121608,Psychologists services,Healthcare Services
85122100,Rehabilitation services,Healthcare Services
85122200,Individual health screening and assessment services,Healthcare Services
85130000,Medical science research and experimentation,Healthcare Services
85140000,Alternative and holistic medicine,Healthcare Services
85150000,Food and nutrition services,Healthcare Services
86000000,Education and Training Services,Education and Training Services
86101803,Vocational rehabilitation services,Education and Training Services
86141704,Library or documentation services,Education and Training Services
90100000,Restaurants and catering,Travel and Food and Lodging and Entertainment Services
90101600,Banquet and catering services,Travel and Food and Lodging and Entertainment Services
90101700,Cafeteria services,Travel and Food and Lodging and Entertainment Services
90110000,Hotels and lodging and meeting facilities,Travel and Food and Lodging and Entertainment Services
90111500,Hotels and motels and inns,Travel and Food and Lodging and Entertainment Services
90111600,Meeting facilities,Travel and Food and Lodging and Entertainment Services
90111601,Conference centres,Travel and Food and Lodging and Entertainment Services
90111603,Meeting or banquet rooms,Travel and Food and Lodging and Entertainment Services
90111800,Hotel rooms,Travel and Food and Lodging and Entertainment Services
90120000,Travel facilitation,Travel and Food and Lodging and Entertainment Services
90121500,Travel agents,Travel and Food and Lodging and Entertainment Services
90121702,Interpreters,Travel and Food and Lodging and Entertainment Services
90130000,Performing arts,Travel and Food and Lodging and Entertainment Services
90140000,Commercial sports,Travel and Food and Lodging and Entertainment Services
90141503,Exhibitions,Travel and Food and Lodging and Entertainment Services
90150000,Entertainment services,Travel and Food and Lodging and Entertainment Services
91100000,Personal appearance,Personal and Domestic Services
91110000,Domestic and personal assistance,Personal and Domestic Services
92100000,Public order and safety,National Defence and Public Order and Security and Safety Services
92101500,Police services,National Defence and Public Order and Security and Safety Services
92110000,Military services and national defence,National Defence and Public Order and Security and Safety Services
92111700,Military science and research,National Defence and Public Order and Security and Safety Services
92120000,Security and personal safety,National Defence and Public Order and Security and Safety Services
92121504,Security guard services,National Defence and Public Order and Security and Safety Services
93100000,Political systems and institutions,Politics and Civic Affairs Services
93110000,Socio political conditions,Politics and Civic Affairs Services
93120000,International relations,Politics and Civic Affairs Services
93121502,Consular services,Politics and Civic Affairs Services
93130000,Humanitarian aid and relief,Politics and Civic Affairs Services
93131500,Refugee programs,Politics and Civic Affairs Services
93131700,Health programs,Politics and Civic Affairs Services
93131701,Anti tobacco campaigns,Politics and Civic Affairs Services
93131703,Research programs,Politics and Civic Affairs Services
93131705,Drug abuse prevention or control programs,Politics and Civic Affairs Services
93131800,Disaster preparedness and relief,Politics and Civic Affairs Services
93140000,Community and social services,Politics and Civic Affairs Services
93141707,Cultural heritage preservation or promotion services,Politics and Civic Affairs Services
93141805,Employment services,Politics and Civic Affairs Services
93141808,Occupational health or safety services,Politics and Civic Affairs Services
93150000,Public administration and finance services,Politics and Civic Affairs Services
93151501,Public enterprises management or financial services,Politics and Civic Affairs Services
93151505,Administrative agencies services,Politics and Civic Affairs Services
93151510,Administrative fees or tax collection services,Politics and Civic Affairs Services
93151515,National planning services,Politics and Civic Affairs Services
93160000,Taxation,Politics and Civic Affairs Services
93161602,Land tax,Politics and Civic Affairs Services
93170000,Trade policy and regulation,Politics and Civic Affairs Services
94100000,Work related organisations,Organisations and Clubs
94101600,Professional associations,Organisations and Clubs
94110000,Religious organisations,Organisations and Clubs
94120000,Clubs,Organisations and Clubs
94130000,Civic organisations and associations and movements,Organisations and Clubs
